t,PME
0.311,0.99768
0.312,0.997723
0.313,0.997766
0.314,0.997808
0.315,0.997849
0.316,0.997889
0.317,0.997929
0.318,0.997968
0.319,0.998006
0.32,0.998043
0.321,0.99808
0.322,0.998116
0.323,0.998151
0.324,0.998185
0.325,0.998219
0.326,0.998253
0.327,0.998285
0.328,0.998317
0.329,0.998349
0.33,0.998379
0.331,0.99841
0.332,0.998439
0.333,0.998468
0.334,0.998497
0.335,0.998525
0.336,0.998553
0.337,0.99858
0.338,0.998606
0.339,0.998632
0.34,0.998657
0.341,0.998682
0.342,0.998707
0.343,0.998731
0.344,0.998755
0.345,0.998778
0.346,0.9988
0.347,0.998823
0.348,0.998845
0.349,0.998866
0.35,0.998887
0.351,0.998908
0.352,0.998928
0.353,0.998948
0.354,0.998967
0.355,0.998987
0.356,0.999005
0.357,0.999024
0.358,0.999042
0.359,0.99906
0.36,0.999077
0.361,0.999094
0.362,0.999111
0.363,0.999127
0.364,0.999143
0.365,0.999159
0.366,0.999175
0.367,0.99919
0.368,0.999205
0.369,0.99922
0.37,0.999234
0.371,0.999248
0.372,0.999262
0.373,0.999276
0.374,0.999289
0.375,0.999302
0.376,0.999315
0.377,0.999328
0.378,0.99934
0.379,0.999352
0.38,0.999364
0.381,0.999376
0.382,0.999387
0.383,0.999398
0.384,0.99941
0.385,0.99942
0.386,0.999431
0.387,0.999441
0.388,0.999452
0.389,0.999462
0.39,0.999472
0.391,0.999481
0.392,0.999491
0.393,0.9995
0.394,0.999509
0.395,0.999518
0.396,0.999527
0.397,0.999536
0.398,0.999544
0.399,0.999553
0.4,0.999561
0.401,0.999569
0.402,0.999577
0.403,0.999584
0.404,0.999592
0.405,0.999599
0.406,0.999607
0.407,0.999614
0.408,0.999621
0.409,0.999628
0.41,0.999635
0.411,0.999641
0.412,0.999648
0.413,0.999654
0.414,0.999661
0.415,0.999667
0.416,0.999673
0.417,0.999679
0.418,0.999685
0.419,0.99969
0.42,0.999696
0.421,0.999701
0.422,0.999707
0.423,0.999712
0.424,0.999717
0.425,0.999723
0.426,0.999728
0.427,0.999733
0.428,0.999737
0.429,0.999742
0.43,0.999747
0.431,0.999751
0.432,0.999756
0.433,0.99976
0.434,0.999765
0.435,0.999769
0.436,0.999773
0.437,0.999777
0.438,0.999781
0.439,0.999785
0.44,0.999789
0.441,0.999793
0.442,0.999797
0.443,0.9998
0.444,0.999804
0.445,0.999807
0.446,0.999811
0.447,0.999814
0.448,0.999818
0.449,0.999821
0.45,0.999824
0.451,0.999827
0.452,0.99983
0.453,0.999833
0.454,0.999836
0.455,0.999839
0.456,0.999842
0.457,0.999845
0.458,0.999848
0.459,0.999851
0.46,0.999853
0.461,0.999856
0.462,0.999858
0.463,0.999861
0.464,0.999864
0.465,0.999866
0.466,0.999868
0.467,0.999871
0.468,0.999873
0.469,0.999875
0.47,0.999878
0.471,0.99988
0.472,0.999882
0.473,0.999884
0.474,0.999886
0.475,0.999888
0.476,0.99989
0.477,0.999892
0.478,0.999894
0.479,0.999896
0.48,0.999898
0.481,0.9999
0.482,0.999901
0.483,0.999903
0.484,0.999905
0.485,0.999906
0.486,0.999908
0.487,0.99991
0.488,0.999911
0.489,0.999913
0.49,0.999914
0.491,0.999916
0.492,0.999918
0.493,0.999919
0.494,0.99992
0.495,0.999922
0.496,0.999923
0.497,0.999925
0.498,0.999926
0.499,0.999927
0.5,0.999928
0.501,0.99993
0.502,0.999931
0.503,0.999932
0.504,0.999933
0.505,0.999935
0.506,0.999936
0.507,0.999937
0.508,0.999938
0.509,0.999939
0.51,0.99994
0.511,0.999941
0.512,0.999942
0.513,0.999943
0.514,0.999944
0.515,0.999945
0.516,0.999946
0.517,0.999947
0.518,0.999948
0.519,0.999949
0.52,0.99995
0.521,0.999951
0.522,0.999952
0.523,0.999952
0.524,0.999953
0.525,0.999954
0.526,0.999955
0.527,0.999956
0.528,0.999957
0.529,0.999957
0.53,0.999958
0.531,0.999959
0.532,0.999959
0.533,0.99996
0.534,0.999961
0.535,0.999962
0.536,0.999962
0.537,0.999963
0.538,0.999964
0.539,0.999964
0.54,0.999965
0.541,0.999965
0.542,0.999966
0.543,0.999967
0.544,0.999967
0.545,0.999968
0.546,0.999968
0.547,0.999969
0.548,0.999969
0.549,0.99997
0.55,0.99997
0.551,0.999971
0.552,0.999971
0.553,0.999972
0.554,0.999972
0.555,0.999973
0.556,0.999973
0.557,0.999974
0.558,0.999974
0.559,0.999975
0.56,0.999975
0.561,0.999976
0.562,0.999976
0.563,0.999976
0.564,0.999977
0.565,0.999977
0.566,0.999978
0.567,0.999978
0.568,0.999978
0.569,0.999979
0.57,0.999979
0.571,0.99998
0.572,0.99998
0.573,0.99998
0.574,0.999981
0.575,0.999981
0.576,0.999981
0.577,0.999982
0.578,0.999982
0.579,0.999982
0.58,0.999982
0.581,0.999983
0.582,0.999983
0.583,0.999983
0.584,0.999984
0.585,0.999984
0.586,0.999984
0.587,0.999984
0.588,0.999985
0.589,0.999985
0.59,0.999985
0.591,0.999986
0.592,0.999986
0.593,0.999986
0.594,0.999986
0.595,0.999986
0.596,0.999987
0.597,0.999987
0.598,0.999987
0.599,0.999987
0.6,0.999988
0.601,0.999988
0.602,0.999988
0.603,0.999988
0.604,0.999988
0.605,0.999989
0.606,0.999989
0.607,0.999989
0.608,0.999989
0.609,0.999989
0.61,0.99999
0.611,0.99999
0.612,0.99999
0.613,0.99999
0.614,0.99999
0.615,0.99999
0.616,0.999991
0.617,0.999991
0.618,0.999991
0.619,0.999991
0.62,0.999991
0.621,0.999991
0.622,0.999991
0.623,0.999992
0.624,0.999992
0.625,0.999992
0.626,0.999992
0.627,0.999992
0.628,0.999992
0.629,0.999992
0.63,0.999993
0.631,0.999993
0.632,0.999993
0.633,0.999993
0.634,0.999993
0.635,0.999993
0.636,0.999993
0.637,0.999993
0.638,0.999994
0.639,0.999994
0.64,0.999994
0.641,0.999994
0.642,0.999994
0.643,0.999994
0.644,0.999994
0.645,0.999994
0.646,0.999994
0.647,0.999994
0.648,0.999995
0.649,0.999995
0.65,0.999995
0.651,0.999995
0.652,0.999995
0.653,0.999995
0.654,0.999995
0.655,0.999995
0.656,0.999995
0.657,0.999995
0.658,0.999995
0.659,0.999995
0.66,0.999996
0.661,0.999996
0.662,0.999996
0.663,0.999996
0.664,0.999996
0.665,0.999996
0.666,0.999996
0.667,0.999996
0.668,0.999996
0.669,0.999996
0.67,0.999996
0.671,0.999996
0.672,0.999996
0.673,0.999996
0.674,0.999996
0.675,0.999997
0.676,0.999997
0.677,0.999997
0.678,0.999997
0.679,0.999997
0.68,0.999997
0.681,0.999997
0.682,0.999997
0.683,0.999997
0.684,0.999997
0.685,0.999997
0.686,0.999997
0.687,0.999997
0.688,0.999997
0.689,0.999997
0.69,0.999997
0.691,0.999997
0.692,0.999997
0.693,0.999997
0.694,0.999997
0.695,0.999998
0.696,0.999998
0.697,0.999998
0.698,0.999998
0.699,0.999998
0.7,0.999998
0.701,0.999998
0.702,0.999998
0.703,0.999998
0.704,0.999998
0.705,0.999998
0.706,0.999998
0.707,0.999998
0.708,0.999998
0.709,0.999998
0.71,0.999998
0.711,0.999998
0.712,0.999998
0.713,0.999998
0.714,0.999998
0.715,0.999998
0.716,0.999998
0.717,0.999998
0.718,0.999998
0.719,0.999998
0.72,0.999998
0.721,0.999998
0.722,0.999998
0.723,0.999998
0.724,0.999998
0.725,0.999998
0.726,0.999999
0.727,0.999999
0.728,0.999999
0.729,0.999999
0.73,0.999999
0.731,0.999999
0.732,0.999999
0.733,0.999999
0.734,0.999999
0.735,0.999999
0.736,0.999999
0.737,0.999999
0.738,0.999999
0.739,0.999999
0.74,0.999999
0.741,0.999999
0.742,0.999999
0.743,0.999999
0.744,0.999999
0.745,0.999999
0.746,0.999999
0.747,0.999999
0.748,0.999999
0.749,0.999999
0.75,0.999999
