h,0 progresywna trzypunktowa,0 progresywna dwupunktowa,$\dfrac{\pi}{4}$ wsteczna trzypunktowa,$\dfrac{\pi}{4}$ wsteczna dwupunktowa,$\dfrac{\pi}{4}$ centralna dwupunktowa,$\dfrac{\pi}{4}$ progresywna dwupunktowa,$\dfrac{\pi}{4}$ progresywna trzypunktowa,$\dfrac{\pi}{2}$ wsteczna trzypunktowa,$\dfrac{\pi}{2}$ wsteczna dwupunktowa
5.66982e-05,5.3578e-10,1.07156e-09,7.54686e-10,2.00454e-05,3.79071e-10,2.00462e-05,7.57623e-10,6.12303e-17,2.83491e-05
4.72485e-05,3.7207e-10,7.44139e-10,5.28326e-10,1.67046e-05,2.62366e-10,1.67051e-05,5.28326e-10,6.12303e-17,2.36242e-05
3.93737e-05,2.58382e-10,5.16764e-10,3.61024e-10,1.39205e-05,1.8318e-10,1.39209e-05,3.65253e-10,6.12303e-17,1.96869e-05
3.28114e-05,1.79432e-10,3.58863e-10,2.49363e-10,1.16005e-05,1.26222e-10,1.16007e-05,2.57822e-10,6.12303e-17,1.64057e-05
2.73429e-05,1.24605e-10,2.49211e-10,1.72216e-10,9.66707e-06,8.76481e-11,9.66725e-06,1.78306e-10,6.12303e-17,1.36714e-05
2.27857e-05,8.65316e-11,1.73063e-10,1.25116e-10,8.05591e-06,6.00376e-11,8.05603e-06,1.27552e-10,6.12303e-17,1.13929e-05
1.89881e-05,6.00914e-11,1.20183e-10,8.22379e-11,6.71326e-06,4.05479e-11,6.71334e-06,9.68553e-11,6.12303e-17,9.49405e-06
1.58234e-05,4.17302e-11,8.34601e-11,5.88501e-11,5.59439e-06,2.8854e-11,5.59445e-06,6.58664e-11,6.12303e-17,7.91171e-06
1.31862e-05,2.89793e-11,5.79583e-11,3.35914e-11,4.66199e-06,2.53458e-11,4.66204e-06,3.78011e-11,6.12303e-17,6.59309e-06
1.09885e-05,2.01243e-11,4.02489e-11,3.69591e-11,3.885e-06,1.35585e-11,3.88503e-06,3.19074e-11,6.12303e-17,5.49424e-06
9.15707e-06,1.39754e-11,2.79508e-11,3.29178e-11,3.2375e-06,9.51705e-12,3.23752e-06,2.07935e-11,6.12303e-17,4.57853e-06
7.63089e-06,9.70501e-12,1.94103e-11,2.8068e-11,2.69792e-06,1.03006e-12,2.69792e-06,3.53425e-11,6.12303e-17,3.81545e-06
6.35908e-06,6.73972e-12,1.34792e-11,1.06092e-11,2.24826e-06,6.84974e-12,2.24827e-06,1.06092e-11,6.12303e-17,3.17954e-06
5.29923e-06,4.68026e-12,9.36051e-12,1.03416e-11,1.87354e-06,1.33782e-13,1.87354e-06,4.2035e-11,6.12303e-17,2.64961e-06
4.41602e-06,3.25018e-12,6.50036e-12,2.71021e-11,1.56129e-06,1.96132e-12,1.56129e-06,2.31795e-11,6.12303e-17,2.20801e-06
3.68002e-06,2.25708e-12,4.51417e-12,1.70459e-11,1.30108e-06,1.96143e-12,1.30108e-06,1.31231e-11,6.12303e-17,1.84e-06
3.06668e-06,1.56741e-12,3.13483e-12,2.91135e-11,1.08421e-06,1.10122e-11,1.08423e-06,2.51906e-11,6.12303e-17,1.53333e-06
2.55557e-06,1.08846e-12,2.17715e-12,1.46324e-11,9.03518e-07,7.08922e-12,9.03504e-07,5.05325e-11,6.12303e-17,1.2778e-06
2.12964e-06,7.55951e-13,1.5119e-12,2.01221e-11,7.52909e-07,5.9438e-12,7.52921e-07,4.61881e-11,6.12303e-17,1.06485e-06
1.7747e-06,5.24913e-13,1.04983e-12,4.24363e-11,6.27417e-07,1.11571e-11,6.2744e-07,2.0122e-11,6.12303e-17,8.87327e-07
1.47892e-06,3.64597e-13,7.29194e-13,1.7413e-11,5.22845e-07,2.0122e-11,5.22805e-07,9.5192e-11,6.12303e-17,7.39439e-07
1.23243e-06,2.53131e-13,5.06262e-13,1.37525e-10,4.35689e-07,2.39908e-12,4.35693e-07,4.26429e-11,6.12303e-17,6.16174e-07
1.02703e-06,1.75859e-13,3.51275e-13,6.60938e-12,3.63117e-07,6.06597e-11,3.62996e-07,1.6876e-10,6.12303e-17,5.13479e-07
8.55855e-07,1.22125e-13,2.44027e-13,4.98496e-11,3.02559e-07,1.50109e-11,3.02589e-07,1.50109e-11,6.12303e-17,4.27949e-07
7.13213e-07,8.4821e-14,1.69642e-13,1.01738e-10,2.52124e-07,2.39053e-11,2.52076e-07,1.01738e-10,6.12303e-17,3.56629e-07
5.94344e-07,5.88418e-14,1.17906e-13,8.50602e-11,2.10063e-07,8.33889e-12,2.10046e-07,1.01738e-10,6.12303e-17,2.97196e-07
4.95287e-07,4.08562e-14,8.19345e-14,2.34499e-10,1.75057e-07,1.03411e-11,1.75078e-07,1.01738e-10,6.12303e-17,2.47694e-07
4.12739e-07,2.83107e-14,5.68434e-14,1.44836e-10,1.45916e-07,1.24154e-10,1.45668e-07,3.93143e-10,6.12303e-17,2.06315e-07
3.43949e-07,1.96509e-14,3.93019e-14,1.44836e-10,1.21546e-07,1.65579e-11,1.21513e-07,1.65579e-11,6.12303e-17,1.72046e-07
2.86624e-07,1.36557e-14,2.75335e-14,2.73951e-10,1.0121e-07,1.13394e-10,1.00984e-07,5.00739e-10,6.12303e-17,1.43317e-07
2.38853e-07,9.54792e-15,1.90958e-14,5.83826e-10,8.40122e-08,1.19013e-10,8.42502e-08,3.45801e-10,6.12303e-17,1.19457e-07
1.99045e-07,6.66134e-15,1.31006e-14,2.60502e-11,7.02537e-08,2.60502e-11,7.03058e-08,2.60502e-11,6.12303e-17,9.92842e-08
1.6587e-07,4.66294e-15,9.10383e-15,6.95382e-10,5.82058e-08,3.60716e-10,5.89272e-08,3.60716e-10,6.12303e-17,8.29971e-08
1.38225e-07,3.21965e-15,6.21725e-15,1.23085e-09,4.85674e-08,2.60502e-11,4.86195e-08,2.60502e-11,6.12303e-17,6.9075e-08
1.15188e-07,2.22045e-15,4.44089e-15,2.67009e-10,4.02142e-08,2.67009e-10,4.07482e-08,2.67009e-10,6.12303e-17,5.78302e-08
9.59898e-08,1.55431e-15,3.10862e-15,1.27513e-09,3.36601e-08,1.18525e-10,3.3423e-08,1.27513e-09,6.12303e-17,4.74208e-08
7.99915e-08,9.99201e-16,2.22045e-15,8.12488e-10,2.8571e-08,8.12488e-10,2.6946e-08,2.20041e-09,6.12303e-17,4.02498e-08
6.66596e-08,7.77156e-16,1.33227e-15,8.12488e-10,2.41296e-08,8.12488e-10,2.25047e-08,1.64524e-09,6.12303e-17,3.33102e-08
5.55497e-08,4.44089e-16,1.11022e-15,1.85233e-09,1.81338e-08,8.53023e-10,1.98398e-08,8.53023e-10,6.12303e-17,2.79806e-08
4.62914e-08,3.33067e-16,8.88178e-16,2.65177e-09,1.41366e-08,1.45261e-09,1.70418e-08,1.45261e-09,6.12303e-17,2.39834e-08
3.85762e-08,2.22045e-16,6.66134e-16,3.61111e-09,1.07789e-08,7.33106e-10,1.22451e-08,2.1449e-09,6.12303e-17,2.0146e-08
3.21468e-08,2.22045e-16,2.22045e-16,1.57506e-10,1.02033e-08,1.57506e-10,1.05183e-08,1.57506e-10,6.12303e-17,1.7268e-08
2.6789e-08,1.11022e-16,2.22045e-16,4.30183e-09,8.13114e-09,1.57506e-10,8.44615e-09,1.91466e-09,6.12303e-17,1.2433e-08
2.23242e-08,1.11022e-16,0,6.71359e-10,5.64455e-09,1.81524e-09,9.27502e-09,1.81524e-09,6.12303e-17,9.94638e-09
1.86035e-08,0,2.22045e-16,3.30719e-09,2.66063e-09,3.23279e-10,3.30719e-09,5.64455e-09,6.12303e-17,1.19357e-08
1.55029e-08,0,2.22045e-16,8.08145e-09,9.20061e-10,9.20061e-10,9.20061e-10,9.82203e-09,6.12303e-17,7.16139e-09
1.29191e-08,0,2.22045e-16,1.0946e-08,2.35234e-09,2.35234e-09,2.35234e-09,6.24133e-09,6.12303e-17,8.59367e-09
1.07659e-08,0,2.22045e-16,4.07107e-09,4.07107e-09,4.07107e-09,4.07107e-09,4.07107e-09,6.12303e-17,1.03124e-08
8.97158e-09,0,0,8.19603e-09,4.17885e-09,4.17885e-09,4.17885e-09,1.03663e-08,6.12303e-17,6.12303e-17
7.47632e-09,0,0,2.30459e-08,8.19603e-09,7.71105e-10,6.65383e-09,1.40788e-08,6.12303e-17,6.12303e-17
6.23027e-09,0,0,7.13882e-10,7.13882e-10,7.13882e-10,7.13882e-10,7.13882e-10,6.12303e-17,6.12303e-17
5.19189e-09,0,0,1.3542e-08,1.3542e-08,2.85009e-09,7.84181e-09,1.85337e-08,6.12303e-17,6.12303e-17
4.32657e-09,0,0,4.98846e-09,4.98846e-09,4.98846e-09,4.98846e-09,4.98846e-09,6.12303e-17,6.12303e-17
3.60548e-09,0,0,2.55169e-08,2.55169e-08,1.01206e-08,5.27576e-09,2.06721e-08,6.12303e-17,6.12303e-17
3.00457e-09,0,0,2.55169e-08,2.55169e-08,7.04131e-09,1.14343e-08,1.14343e-08,6.12303e-17,6.12303e-17
2.5038e-09,0,0,4.02974e-08,4.02974e-08,1.81267e-08,4.04405e-09,4.04405e-09,6.12303e-17,6.12303e-17
2.0865e-09,0,0,5.8034e-08,5.8034e-08,3.14291e-08,4.82424e-09,4.82424e-09,6.12303e-17,6.12303e-17
1.73875e-09,0,0,2.71016e-08,2.71016e-08,2.71016e-08,2.71016e-08,2.71016e-08,6.12303e-17,6.12303e-17
1.44896e-09,0,0,2.39797e-08,2.39797e-08,1.43313e-08,5.26423e-08,9.09533e-08,6.12303e-17,6.12303e-17
1.20747e-09,0,0,6.66907e-09,6.66907e-09,6.66907e-09,6.66907e-09,6.66907e-09,6.12303e-17,6.12303e-17
1.00622e-09,0,0,1.03667e-07,1.03667e-07,4.84988e-08,6.66907e-09,6.66907e-09,6.12303e-17,6.12303e-17
8.38519e-10,0,0,1.03667e-07,2.87362e-08,2.87362e-08,2.87362e-08,2.87362e-08,6.12303e-17,6.12303e-17
6.98766e-10,0,0,2.6255e-07,1.03667e-07,2.42249e-08,5.52168e-08,5.52168e-08,6.12303e-17,6.12303e-17
5.82305e-10,0,0,3.26103e-07,1.35443e-07,4.01133e-08,5.52168e-08,5.52168e-08,6.12303e-17,6.12303e-17
4.85254e-10,0,0,2.10473e-08,2.10473e-08,9.33488e-08,2.07745e-07,3.22141e-07,6.12303e-17,6.12303e-17
4.04378e-10,0,0,2.04081e-07,7.04696e-08,7.04696e-08,7.04696e-08,7.04696e-08,6.12303e-17,6.12303e-17
3.36982e-10,0,0,5.33542e-07,2.04081e-07,3.93506e-08,1.2538e-07,1.2538e-07,6.12303e-17,6.12303e-17
2.80818e-10,0,0,1.38189e-07,1.38189e-07,5.94876e-08,2.57164e-07,2.57164e-07,6.12303e-17,6.12303e-17
2.34015e-10,0,0,6.12612e-07,1.38189e-07,9.90228e-08,3.36235e-07,5.73446e-07,6.12303e-17,6.12303e-17
1.95013e-10,0,0,1.18192e-06,6.12612e-07,3.27958e-07,4.33042e-08,4.33042e-08,6.12303e-17,6.12303e-17
1.62511e-10,0,0,2.71027e-07,2.71027e-07,7.05574e-08,4.12142e-07,7.53727e-07,6.12303e-17,6.12303e-17
1.35425e-10,0,0,1.63737e-06,8.17563e-07,4.07661e-07,2.24048e-09,2.24048e-09,6.12303e-17,6.12303e-17
1.12855e-10,0,0,1.31393e-06,3.30162e-07,3.30162e-07,3.30162e-07,3.30162e-07,6.12303e-17,6.12303e-17
