-8.47543	-inf	-inf	-7.15786	-7.70422	-8.49877	-16.213	-16.213	
-8.62155	-inf	-inf	-7.08199	-7.88192	-7.47725	-16.213	-16.213	
-8.76768	-inf	-inf	-7.34068	-7.88192	-7.28481	-16.213	-16.213	
-8.91381	-inf	-inf	-6.75525	-7.40743	-8.19493	-16.213	-16.213	
-9.05994	-inf	-inf	-6.75525	-7.81002	-6.84485	-16.213	-16.213	
-9.20607	-inf	-inf	-7.64305	-7.17738	-6.61101	-16.213	-16.213	
-9.35219	-inf	-inf	-6.62549	-6.95092	-7.88812	-16.213	-16.213	
-9.49832	-inf	-inf	-6.86345	-7.42114	-6.41156	-16.213	-16.213	
-9.64445	-inf	-inf	-6.86345	-6.86345	-6.86345	-16.213	-16.213	
-9.79058	-inf	-inf	-6.47782	-8.00258	-6.15776	-16.213	-16.213	
-9.93671	-inf	-inf	-5.7686	-6.57799	-6.15776	-16.213	-16.213	
-10.0828	-inf	-inf	-6.25795	-6.25795	-6.25795	-16.213	-16.213	
-10.229	-inf	-inf	-5.96275	-6.82656	-6.10162	-16.213	-16.213	
-10.3751	-inf	-inf	-5.73473	-6.27961	-5.67612	-16.213	-16.213	
-10.5212	-inf	-inf	-5.30087	-6.27733	-5.37524	-16.213	-16.213	
-10.6673	-inf	-inf	-5.6877	-6.27733	-5.50742	-16.213	-16.213	
-10.8135	-inf	-inf	-5.2089	-5.59028	-5.98123	-16.213	-16.213	
-10.9596	-inf	-inf	-5.0825	-5.73374	-5.73374	-16.213	-16.213	
-11.1057	-inf	-inf	-6.75183	-6.75183	-5.16089	-16.213	-16.213	
-11.2519	-inf	-inf	-4.64136	-5.52149	-5.52149	-16.213	-16.213	
-11.398	-inf	-inf	-4.39136	-5.9885	-4.54083	-16.213	-16.213	
-11.5441	-inf	-inf	-4.28639	-5.18187	-4.34256	-16.213	-16.213	
-11.6902	-inf	-inf	-4.44166	-5.04739	-4.73904	-16.213	-16.213	
-11.8364	-inf	-inf	-3.99371	-4.89291	-4.29344	-16.213	-16.213	
-11.9825	-inf	-inf	-3.99371	-4.23286	-3.78216	-16.213	-16.213	
-12.1286	-inf	-inf	-4.2306	-4.80016	-3.78216	-16.213	-16.213	
-12.2748	-inf	-inf	-3.62351	-3.87468	-4.53844	-16.213	-16.213	
-12.4209	-inf	-inf	-3.81149	-5.09455	-3.54581	-16.213	-16.213	
-12.567	-inf	-inf	-4.42824	-4.42824	-4.42824	-16.213	-16.213	
-12.7131	-inf	-inf	-3.20891	-3.47966	-3.0434	-16.213	-16.213	
-12.8593	-inf	-inf	-3.27663	-3.89473	-3.17037	-16.213	-16.213	
-13.0054	-inf	-inf	-2.9678	-3.28827	-2.78542	-16.213	-16.213	
-13.1515	-inf	-inf	-2.9678	-3.30384	-3.30384	-16.213	-16.213	
-13.2977	-inf	-inf	-2.63153	-3.87706	-3.87706	-16.213	-16.213	
-13.4438	-inf	-inf	-2.63153	-3.12576	-2.64	-16.213	-16.213	
-13.5899	-inf	-inf	-2.95776	-2.95776	-2.95776	-16.213	-16.213	
-13.736	-inf	-inf	-2.23603	-2.55527	-3.62256	-16.213	-16.213	
-13.8822	-inf	-inf	-1.88399	-3.43641	-2.09163	-16.213	-16.213	
-14.0283	-inf	-inf	-1.70261	-2.68637	-2.00919	-16.213	-16.213	
-14.1744	-inf	-inf	-1.98491	-2.68637	-1.83772	-16.213	-16.213	
