x,equidistant,Chebyshev
-1,0.0909091,0.0910495
-0.99,0.173146,0.095875
-0.98,0.211685,0.101364
-0.97,0.223048,0.10725
-0.96,0.218912,0.11343
-0.95,0.207286,0.119896
-0.94,0.193446,0.126688
-0.93,0.180671,0.133862
-0.92,0.170812,0.141473
-0.91,0.164737,0.149568
-0.9,0.162659,0.158184
-0.89,0.164382,0.167345
-0.88,0.169484,0.177068
-0.87,0.177439,0.187364
-0.86,0.187706,0.19824
-0.85,0.199779,0.209706
-0.84,0.213222,0.22177
-0.83,0.22768,0.234443
-0.82,0.242884,0.247741
-0.81,0.258644,0.261679
-0.8,0.274842,0.276272
-0.79,0.291415,0.291538
-0.78,0.308346,0.307488
-0.77,0.325647,0.324133
-0.76,0.34335,0.341475
-0.75,0.361495,0.359511
-0.74,0.380122,0.378228
-0.73,0.399262,0.397602
-0.72,0.418935,0.417603
-0.71,0.439144,0.438186
-0.7,0.459876,0.459298
-0.69,0.481097,0.480877
-0.68,0.502759,0.502849
-0.67,0.524795,0.525135
-0.66,0.547126,0.547647
-0.65,0.56966,0.570292
-0.64,0.592296,0.592976
-0.63,0.614929,0.615598
-0.62,0.63745,0.638061
-0.61,0.659749,0.660266
-0.6,0.68172,0.682117
-0.59,0.703259,0.703525
-0.58,0.724271,0.724403
-0.57,0.744667,0.744673
-0.56,0.764369,0.764261
-0.55,0.783308,0.783106
-0.54,0.801426,0.801152
-0.53,0.818677,0.818355
-0.52,0.835024,0.834678
-0.51,0.850443,0.850096
-0.5,0.864919,0.864591
-0.49,0.878448,0.878155
-0.48,0.891034,0.89079
-0.47,0.90269,0.902504
-0.46,0.913437,0.913313
-0.45,0.9233,0.923239
-0.44,0.932313,0.932312
-0.43,0.940511,0.940565
-0.42,0.947934,0.948036
-0.41,0.954626,0.954766
-0.4,0.960631,0.960799
-0.39,0.965994,0.966179
-0.38,0.970763,0.970954
-0.37,0.974984,0.975171
-0.36,0.9787,0.978875
-0.35,0.981958,0.982112
-0.34,0.984798,0.984928
-0.33,0.987262,0.987363
-0.32,0.989389,0.989458
-0.31,0.991214,0.991252
-0.3,0.992772,0.992779
-0.29,0.994094,0.994073
-0.28,0.995209,0.995163
-0.27,0.996142,0.996077
-0.26,0.99692,0.99684
-0.25,0.997562,0.997472
-0.24,0.998088,0.997994
-0.23,0.998517,0.998423
-0.22,0.998862,0.998772
-0.21,0.999137,0.999056
-0.2,0.999355,0.999285
-0.19,0.999526,0.999468
-0.18,0.999657,0.999614
-0.17,0.999757,0.999728
-0.16,0.999832,0.999817
-0.15,0.999887,0.999885
-0.14,0.999927,0.999936
-0.13,0.999955,0.999972
-0.12,0.999973,0.999998
-0.11,0.999986,1.00001
-0.1,0.999993,1.00002
-0.09,0.999998,1.00003
-0.08,1,1.00003
-0.07,1,1.00003
-0.06,1,1.00002
-0.05,1,1.00002
-0.04,0.999999,1.00001
-0.03,0.999998,1.00001
-0.02,0.999998,1
-0.01,0.999997,1
7.5287e-16,0.999997,1
0.01,0.999997,1
0.02,0.999998,1
0.03,0.999998,1.00001
0.04,0.999999,1.00001
0.05,1,1.00002
0.06,1,1.00002
0.07,1,1.00003
0.08,1,1.00003
0.09,0.999998,1.00003
0.1,0.999993,1.00002
0.11,0.999986,1.00001
0.12,0.999973,0.999998
0.13,0.999955,0.999972
0.14,0.999927,0.999936
0.15,0.999887,0.999885
0.16,0.999832,0.999817
0.17,0.999757,0.999728
0.18,0.999657,0.999614
0.19,0.999526,0.999468
0.2,0.999355,0.999285
0.21,0.999137,0.999056
0.22,0.998862,0.998772
0.23,0.998517,0.998423
0.24,0.998088,0.997994
0.25,0.997562,0.997472
0.26,0.99692,0.99684
0.27,0.996142,0.996077
0.28,0.995209,0.995163
0.29,0.994094,0.994073
0.3,0.992772,0.992779
0.31,0.991214,0.991252
0.32,0.989389,0.989458
0.33,0.987262,0.987363
0.34,0.984798,0.984928
0.35,0.981958,0.982112
0.36,0.9787,0.978875
0.37,0.974984,0.975171
0.38,0.970763,0.970954
0.39,0.965994,0.966179
0.4,0.960631,0.960799
0.41,0.954626,0.954766
0.42,0.947934,0.948036
0.43,0.940511,0.940565
0.44,0.932313,0.932312
0.45,0.9233,0.923239
0.46,0.913437,0.913313
0.47,0.90269,0.902504
0.48,0.891034,0.89079
0.49,0.878448,0.878155
0.5,0.864919,0.864591
0.51,0.850443,0.850096
0.52,0.835024,0.834678
0.53,0.818677,0.818355
0.54,0.801426,0.801152
0.55,0.783308,0.783106
0.56,0.764369,0.764261
0.57,0.744667,0.744673
0.58,0.724271,0.724403
0.59,0.703259,0.703525
0.6,0.68172,0.682117
0.61,0.659749,0.660266
0.62,0.63745,0.638061
0.63,0.614929,0.615598
0.64,0.592296,0.592976
0.65,0.56966,0.570292
0.66,0.547126,0.547647
0.67,0.524795,0.525135
0.68,0.502759,0.502849
0.69,0.481097,0.480877
0.7,0.459876,0.459298
0.71,0.439144,0.438186
0.72,0.418935,0.417603
0.73,0.399262,0.397602
0.74,0.380122,0.378228
0.75,0.361495,0.359511
0.76,0.34335,0.341475
0.77,0.325647,0.324133
0.78,0.308346,0.307488
0.79,0.291415,0.291538
0.8,0.274842,0.276272
0.81,0.258644,0.261679
0.82,0.242884,0.247741
0.83,0.22768,0.234443
0.84,0.213222,0.22177
0.85,0.199779,0.209706
0.86,0.187706,0.19824
0.87,0.177439,0.187364
0.88,0.169484,0.177068
0.89,0.164382,0.167345
0.9,0.162659,0.158184
0.91,0.164737,0.149568
0.92,0.170812,0.141473
0.93,0.180671,0.133862
0.94,0.193446,0.126688
0.95,0.207286,0.119896
0.96,0.218912,0.11343
0.97,0.223048,0.10725
0.98,0.211685,0.101364
0.99,0.173146,0.095875
