x,y
0.995185,0.0933311
0.95694,0.11522
0.881921,0.175278
0.77301,0.319122
0.634393,0.60538
0.471397,0.901121
0.290285,0.994052
0.0980171,0.999991
-0.0980171,0.999991
-0.290285,0.994052
-0.471397,0.901121
-0.634393,0.60538
-0.77301,0.319122
-0.881921,0.175278
-0.95694,0.11522
-0.995185,0.0933311
