x,equidistant,Chebyshev
-1,0.0909091,0.0787904
-0.99,0.0821919,0.0958465
-0.98,0.0759403,0.108835
-0.97,0.0720481,0.118681
-0.96,0.0704082,0.126191
-0.95,0.0709131,0.132062
-0.94,0.0734553,0.136895
-0.93,0.077927,0.1412
-0.92,0.084221,0.145404
-0.91,0.0922307,0.149866
-0.9,0.10185,0.154876
-0.89,0.112975,0.160666
-0.88,0.125502,0.167417
-0.87,0.139328,0.175264
-0.86,0.154354,0.184299
-0.85,0.170481,0.194582
-0.84,0.187612,0.206138
-0.83,0.205654,0.218967
-0.82,0.224514,0.233048
-0.81,0.244103,0.248336
-0.8,0.264332,0.264775
-0.79,0.285119,0.282291
-0.78,0.30638,0.300802
-0.77,0.328036,0.320217
-0.76,0.350012,0.34044
-0.75,0.372233,0.361369
-0.74,0.39463,0.382901
-0.73,0.417135,0.40493
-0.72,0.439682,0.427354
-0.71,0.462212,0.450067
-0.7,0.484665,0.472971
-0.69,0.506985,0.495968
-0.68,0.529121,0.518964
-0.67,0.551024,0.54187
-0.66,0.572647,0.564603
-0.65,0.593947,0.587084
-0.64,0.614883,0.609241
-0.63,0.63542,0.631007
-0.62,0.655522,0.652321
-0.61,0.675158,0.673127
-0.6,0.6943,0.693377
-0.59,0.712922,0.713028
-0.58,0.731001,0.732044
-0.57,0.748518,0.750391
-0.56,0.765454,0.768045
-0.55,0.781794,0.784986
-0.54,0.797526,0.801196
-0.53,0.812641,0.816666
-0.52,0.827129,0.83139
-0.51,0.840987,0.845364
-0.5,0.85421,0.858592
-0.49,0.866797,0.871079
-0.48,0.878749,0.882833
-0.47,0.89007,0.893867
-0.46,0.900764,0.904195
-0.45,0.910837,0.913835
-0.44,0.920297,0.922804
-0.43,0.929154,0.931126
-0.42,0.93742,0.938821
-0.41,0.945106,0.945914
-0.4,0.952227,0.95243
-0.39,0.958797,0.958396
-0.38,0.964833,0.963837
-0.37,0.970353,0.96878
-0.36,0.975373,0.973252
-0.35,0.979914,0.977282
-0.34,0.983994,0.980895
-0.33,0.987634,0.984118
-0.32,0.990855,0.986979
-0.31,0.993678,0.989502
-0.3,0.996125,0.991712
-0.29,0.998218,0.993635
-0.28,0.999978,0.995294
-0.27,1.00143,0.996711
-0.26,1.00259,0.997909
-0.25,1.00349,0.998907
-0.24,1.00415,0.999727
-0.23,1.00458,1.00039
-0.22,1.00481,1.0009
-0.21,1.00487,1.0013
-0.2,1.00477,1.00158
-0.19,1.00453,1.00176
-0.18,1.00417,1.00187
-0.17,1.00372,1.0019
-0.16,1.00318,1.00188
-0.15,1.00259,1.00181
-0.14,1.00194,1.00171
-0.13,1.00127,1.00157
-0.12,1.00059,1.00142
-0.11,0.999906,1.00125
-0.1,0.999235,1.00108
-0.09,0.998591,1.00091
-0.08,0.997984,1.00074
-0.07,0.997424,1.00058
-0.06,0.996921,1.00044
-0.05,0.996481,1.00031
-0.04,0.996112,1.0002
-0.03,0.99582,1.00011
-0.02,0.995608,1.00005
-0.01,0.995479,1.00001
7.5287e-16,0.995436,1
0.01,0.995479,1.00001
0.02,0.995608,1.00005
0.03,0.99582,1.00011
0.04,0.996112,1.0002
0.05,0.996481,1.00031
0.06,0.996921,1.00044
0.07,0.997424,1.00058
0.08,0.997984,1.00074
0.09,0.998591,1.00091
0.1,0.999235,1.00108
0.11,0.999906,1.00125
0.12,1.00059,1.00142
0.13,1.00127,1.00157
0.14,1.00194,1.00171
0.15,1.00259,1.00181
0.16,1.00318,1.00188
0.17,1.00372,1.0019
0.18,1.00417,1.00187
0.19,1.00453,1.00176
0.2,1.00477,1.00158
0.21,1.00487,1.0013
0.22,1.00481,1.0009
0.23,1.00458,1.00039
0.24,1.00415,0.999727
0.25,1.00349,0.998907
0.26,1.00259,0.997909
0.27,1.00143,0.996711
0.28,0.999978,0.995294
0.29,0.998218,0.993635
0.3,0.996125,0.991712
0.31,0.993678,0.989502
0.32,0.990855,0.986979
0.33,0.987634,0.984118
0.34,0.983994,0.980895
0.35,0.979914,0.977282
0.36,0.975373,0.973252
0.37,0.970353,0.96878
0.38,0.964833,0.963837
0.39,0.958797,0.958396
0.4,0.952227,0.95243
0.41,0.945106,0.945914
0.42,0.93742,0.938821
0.43,0.929154,0.931126
0.44,0.920297,0.922804
0.45,0.910837,0.913835
0.46,0.900764,0.904195
0.47,0.89007,0.893867
0.48,0.878749,0.882833
0.49,0.866797,0.871079
0.5,0.85421,0.858592
0.51,0.840987,0.845364
0.52,0.827129,0.83139
0.53,0.812641,0.816666
0.54,0.797526,0.801196
0.55,0.781794,0.784986
0.56,0.765454,0.768045
0.57,0.748518,0.750391
0.58,0.731001,0.732044
0.59,0.712922,0.713028
0.6,0.6943,0.693377
0.61,0.675158,0.673127
0.62,0.655522,0.652321
0.63,0.63542,0.631007
0.64,0.614883,0.609241
0.65,0.593947,0.587084
0.66,0.572647,0.564603
0.67,0.551024,0.54187
0.68,0.529121,0.518964
0.69,0.506985,0.495968
0.7,0.484665,0.472971
0.71,0.462212,0.450067
0.72,0.439682,0.427354
0.73,0.417135,0.40493
0.74,0.39463,0.382901
0.75,0.372233,0.361369
0.76,0.350012,0.34044
0.77,0.328036,0.320217
0.78,0.30638,0.300802
0.79,0.285119,0.282291
0.8,0.264332,0.264775
0.81,0.244103,0.248336
0.82,0.224514,0.233048
0.83,0.205654,0.218967
0.84,0.187612,0.206138
0.85,0.170481,0.194582
0.86,0.154354,0.184299
0.87,0.139328,0.175264
0.88,0.125502,0.167417
0.89,0.112975,0.160666
0.9,0.10185,0.154876
0.91,0.0922307,0.149866
0.92,0.084221,0.145404
0.93,0.077927,0.1412
0.94,0.0734553,0.136895
0.95,0.0709131,0.132062
0.96,0.0704082,0.126191
0.97,0.0720481,0.118681
0.98,0.0759403,0.108835
0.99,0.0821919,0.0958465
