x,equidistant,Chebyshev
-1,0.0909091,0.0772761
-0.99,0.118584,0.086342
-0.98,0.145598,0.0957698
-0.97,0.171962,0.105546
-0.96,0.197687,0.115656
-0.95,0.222786,0.126088
-0.94,0.247268,0.136827
-0.93,0.271146,0.147861
-0.92,0.294431,0.159176
-0.91,0.317133,0.17076
-0.9,0.339263,0.1826
-0.89,0.360832,0.194684
-0.88,0.38185,0.206998
-0.87,0.402328,0.219531
-0.86,0.422276,0.23227
-0.85,0.441705,0.245204
-0.84,0.460623,0.25832
-0.83,0.479043,0.271606
-0.82,0.496972,0.285051
-0.81,0.514422,0.298644
-0.8,0.5314,0.312373
-0.79,0.547919,0.326227
-0.78,0.563985,0.340195
-0.77,0.579609,0.354265
-0.76,0.5948,0.368428
-0.75,0.609567,0.382672
-0.74,0.623919,0.396986
-0.73,0.637864,0.411362
-0.72,0.651411,0.425787
-0.71,0.664569,0.440253
-0.7,0.677346,0.454749
-0.69,0.689751,0.469265
-0.68,0.701792,0.483792
-0.67,0.713476,0.498321
-0.66,0.724812,0.51284
-0.65,0.735808,0.527343
-0.64,0.746471,0.541818
-0.63,0.756809,0.556258
-0.62,0.766829,0.570654
-0.61,0.776539,0.584996
-0.6,0.785946,0.599277
-0.59,0.795057,0.613487
-0.58,0.80388,0.627619
-0.57,0.81242,0.641664
-0.56,0.820686,0.655615
-0.55,0.828682,0.669462
-0.54,0.836417,0.6832
-0.53,0.843897,0.69682
-0.52,0.851127,0.710314
-0.51,0.858114,0.723676
-0.5,0.864865,0.736898
-0.49,0.871384,0.749973
-0.48,0.877679,0.762895
-0.47,0.883753,0.775656
-0.46,0.889614,0.78825
-0.45,0.895267,0.80067
-0.44,0.900717,0.81291
-0.43,0.905969,0.824964
-0.42,0.911029,0.836826
-0.41,0.9159,0.848489
-0.4,0.92059,0.859949
-0.39,0.925101,0.871199
-0.38,0.929439,0.882235
-0.37,0.933609,0.893049
-0.36,0.937614,0.903638
-0.35,0.941459,0.913997
-0.34,0.945148,0.924119
-0.33,0.948686,0.934001
-0.32,0.952076,0.943638
-0.31,0.955322,0.953025
-0.3,0.958428,0.962159
-0.29,0.961397,0.971033
-0.28,0.964233,0.979646
-0.27,0.966939,0.987992
-0.26,0.969519,0.996067
-0.25,0.971975,1.00387
-0.24,0.974311,1.01139
-0.23,0.976529,1.01864
-0.22,0.978633,1.0256
-0.21,0.980624,1.03227
-0.2,0.982506,1.03865
-0.19,0.984281,1.04474
-0.18,0.985951,1.05053
-0.17,0.987518,1.05602
-0.16,0.988985,1.06122
-0.15,0.990353,1.06611
-0.14,0.991624,1.07069
-0.13,0.992801,1.07497
-0.12,0.993883,1.07894
-0.11,0.994874,1.08259
-0.1,0.995774,1.08594
-0.09,0.996584,1.08897
-0.08,0.997307,1.09168
-0.07,0.997942,1.09408
-0.06,0.99849,1.09616
-0.05,0.998953,1.09792
-0.04,0.99933,1.09936
-0.03,0.999624,1.10049
-0.02,0.999833,1.10129
-0.01,0.999958,1.10177
7.5287e-16,1,1.10193
0.01,0.999958,1.10177
0.02,0.999833,1.10129
0.03,0.999624,1.10049
0.04,0.99933,1.09936
0.05,0.998953,1.09792
0.06,0.99849,1.09616
0.07,0.997942,1.09408
0.08,0.997307,1.09168
0.09,0.996584,1.08897
0.1,0.995774,1.08594
0.11,0.994874,1.08259
0.12,0.993883,1.07894
0.13,0.992801,1.07497
0.14,0.991624,1.07069
0.15,0.990353,1.06611
0.16,0.988985,1.06122
0.17,0.987518,1.05602
0.18,0.985951,1.05053
0.19,0.984281,1.04474
0.2,0.982506,1.03865
0.21,0.980624,1.03227
0.22,0.978633,1.0256
0.23,0.976529,1.01864
0.24,0.974311,1.01139
0.25,0.971975,1.00387
0.26,0.969519,0.996067
0.27,0.966939,0.987992
0.28,0.964233,0.979646
0.29,0.961397,0.971033
0.3,0.958428,0.962159
0.31,0.955322,0.953025
0.32,0.952076,0.943638
0.33,0.948686,0.934001
0.34,0.945148,0.924119
0.35,0.941459,0.913997
0.36,0.937614,0.903638
0.37,0.933609,0.893049
0.38,0.929439,0.882235
0.39,0.925101,0.871199
0.4,0.92059,0.859949
0.41,0.9159,0.848489
0.42,0.911029,0.836826
0.43,0.905969,0.824964
0.44,0.900717,0.81291
0.45,0.895267,0.80067
0.46,0.889614,0.78825
0.47,0.883753,0.775656
0.48,0.877679,0.762895
0.49,0.871384,0.749973
0.5,0.864865,0.736898
0.51,0.858114,0.723676
0.52,0.851127,0.710314
0.53,0.843897,0.69682
0.54,0.836417,0.6832
0.55,0.828682,0.669462
0.56,0.820686,0.655615
0.57,0.81242,0.641664
0.58,0.80388,0.627619
0.59,0.795057,0.613487
0.6,0.785946,0.599277
0.61,0.776539,0.584996
0.62,0.766829,0.570654
0.63,0.756809,0.556258
0.64,0.746471,0.541818
0.65,0.735808,0.527343
0.66,0.724812,0.51284
0.67,0.713476,0.498321
0.68,0.701792,0.483792
0.69,0.689751,0.469265
0.7,0.677346,0.454749
0.71,0.664569,0.440253
0.72,0.651411,0.425787
0.73,0.637864,0.411362
0.74,0.623919,0.396986
0.75,0.609567,0.382672
0.76,0.5948,0.368428
0.77,0.579609,0.354265
0.78,0.563985,0.340195
0.79,0.547919,0.326227
0.8,0.5314,0.312373
0.81,0.514422,0.298644
0.82,0.496972,0.285051
0.83,0.479043,0.271606
0.84,0.460623,0.25832
0.85,0.441705,0.245204
0.86,0.422276,0.23227
0.87,0.402328,0.219531
0.88,0.38185,0.206998
0.89,0.360832,0.194684
0.9,0.339263,0.1826
0.91,0.317133,0.17076
0.92,0.294431,0.159176
0.93,0.271146,0.147861
0.94,0.247268,0.136827
0.95,0.222786,0.126088
0.96,0.197687,0.115656
0.97,0.171962,0.105546
0.98,0.145598,0.0957698
0.99,0.118584,0.086342
